id,original_title,title,bag_of_words
79,Terminator 2: Judgment Day,Terminator 2: Judgment Day,Action Thriller ScienceFiction English Español LightstormEntertainment PacificWestern Canal+ CarolcoPictures T2Productions ArnoldSchwarzenegger LindaHamilton RobertPatrick EdwardFurlong MichaelEdwards JoeMorton EarlBoen JamesCameron JamesCameron WilliamWisherJr. cyborg shotgun post-apocalyptic dystopia moralambiguity mentalinstitution violence fictionalwar morphing nuclearweapons shapeshifter savior catchphrase 
80,Dances with Wolves,Dances with Wolves,Adventure Drama Western English TigProductions MajesticFilmsInternational KevinCostner MaryMcDonnell GrahamGreene RodneyA.Grant FloydRedCrowWesterman TantooCardinal RobertPastorelli KevinCostner MichaelBlake skabundertv Øverstehylde foran 
81,Batman,Batman,Fantasy Action English Français PolyGramFilmedEntertainment TheGuber-PetersCompany WarnerBros. JackNicholson MichaelKeaton KimBasinger MichaelGough PatHingle BillyDeeWilliams JackPalance TimBurton WarrenSkaaren BobKane SamHamm doublelife dccomics dualidentity chemical crimefighter fictionalplace gothamcity superhero superpowers 
82,The Silence of the Lambs,The Silence of the Lambs,Crime Drama Thriller English OrionPictures StrongHeart/DemmeProduction JodieFoster AnthonyHopkins ScottGlenn TedLevine AnthonyHeald BrookeSmith DianeBaker JonathanDemme KalinaIvanov ThomasHarris TedTally basedonnovel psychopath horror suspense serialkiller psychologicalthriller cannibal fbiagent animalincastcredits cannibalism 
83,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,Fantasy Animation Family English WaltDisneyProductions AdrianaCaselotti LucilleLaVerne HarryStockwell RoyAtwell PintoColvig OtisHarlan ScottyMattraw DavidHand JacobGrimm WilhelmGrimm TedSears RichardCreedon OttoEnglander DickRickard EarlHurd MerrillDeMaris DorothyAnnBlank WebbSmith FerdinandHorvath poison witch becominganadult sadness queen attemptedmurder dyinganddeath appearance princess candlelightvigil snowwhite 
84,Pretty Woman,Pretty Woman,Romance Comedy English Italiano 日本語 TouchstonePictures SilverScreenPartnersIV JuliaRoberts RichardGere RalphBellamy JasonAlexander HéctorElizondo LarryMiller LauraSanGiacomo GarryMarshall J.F.Lawton prostitute capitalism cinderella expensiverestaurant sportscar workaholic fireescape friendship losangeles piano 
85,One Fine Day,One Fine Day,Comedy Romance English TwentiethCenturyFoxFilmCorporation Fox2000Pictures ViaRosaProductions RosaProductions MichellePfeiffer GeorgeClooney MaeWhitman AlexD.Linz CharlesDurning JonRobinBaitz EllenGreene MichaelHoffman TerrelSeltzer EllenSimon skabundertv bagved Øverstehylde 
86,Fargo,Fargo,Crime Drama Thriller English PolyGramFilmedEntertainment WorkingTitleFilms WilliamH.Macy FrancesMcDormand SteveBuscemi PeterStormare KristinRudrüd HarvePresnell TonyDenman JoelCoen JoelCoen EthanCoen cheating ransom salesclerk winter kidnapping auto unsociability police northdakota murder money cardealership woodchipper 
87,Primal Fear,Primal Fear,Crime Drama Mystery Thriller English Español ParamountPictures RichardGere EdwardNorton LauraLinney JohnMahoney FrancesMcDormand TerryO'Quinn AndreBraugher GregoryHoblit WilliamDiehl SteveShagan AnnBiderman corruption bishop courtcase pornographicvideo court psychopathy 
88,Jack & Sarah,Jack & Sarah,Comedy Drama Romance English GranadaFilmProductions MainstreamS.A. Canal+ BritishScreenProductions PolygramFilmedEntertainment RichardE.Grant SamanthaMathis JudiDench EileenAtkins CherieLunghi ImogenStubbs DavidSwift TimSullivan TimSullivan londonengland depression baby nanny daughter 
89,Mission: Impossible,Mission: Impossible,Adventure Action Thriller English Français Český ParamountPictures Cruise/WagnerProductions TomCruise JonVoight EmmanuelleBéart HenryCzerny JeanReno VingRhames KristinScottThomas BrianDePalma BruceGeller DavidKoepp StevenZaillian RobertTowne paris londonengland spy cia terrorist secretidentity undercover armsdeal headquarter secretbase secretmission prague embassy secretagent tgv computer mission basedontvseries espionage agent 
90,অপুর সংসার,The World of Apu,Drama বাংলা SatyajitRayProductions SoumitraChatterjee SharmilaTagore AlokChakravarty SwapanMukherjee DhireshMajumdar SefalikaDevi DhirenGhosh BibhutibhushanBandyopadhyay SatyajitRay SatyajitRay brokenengagement arrangedmarriage dyinganddeath calcutta 
91,Space Jam,Space Jam,Animation Comedy Drama Family Fantasy English WarnerBros.FamilyEntertainment NorthernLightsEntertainment CourtsideSeatsProductions MichaelJordan WayneKnight BillyWest DeeBradleyBaker TheresaRandle DannyDeVito BrandonHammond JoePytka LeoBenvenuti SteveRudnick TimothyHarris HerschelWeingrod KurtAnderson sport basketball doctor basketballteam basketballgame referee basketballcourt tweetybird speedygonzales cartoonchicken sylvesterthecat cartoonrealitycrossover basketballhoop cartoonskunk 
92,Faces,Faces,Drama English MauriceMcEndreeProductions WalterReadeOrganizationInc. FacesInternationalFilms GenaRowlands JohnMarley LynnCarlin SeymourCassel FredDraper ValAvery DorothyGulliver JohnCassavetes JohnCassavetes prostitute adultery suicideattempt nudity marriagecrisis love independentfilm divorce 
93,The Truth About Cats & Dogs,The Truth About Cats & Dogs,Comedy Romance English TwentiethCenturyFoxFilmCorporation NoonAttackPictures UmaThurman JaneaneGarofalo BenChaplin JamesMcCaffrey RichardCoca StanleyDeSantis AntoinetteValente AudreyWells MichaelLehmann radiopresenter falseidentity decoy beguilement love art 
94,Dead Man,Dead Man,Drama Fantasy Western English Español JVCEntertainment PandoraFilmproduktion NewmarketCapitalGroup 12GaugeProductions JohnnyDepp GaryFarmer CrispinGlover LanceHenriksen MichaelWincott EugeneByrd JohnHurt JimJarmusch JimJarmusch sheriff bounty bountyhunter gun attemptedmurder prosecution illnessandinjury dyinganddeath frontier murder blackandwhite 19thcentury fearofdying wanteddeadoralive 
95,A Close Shave,A Close Shave,Family Animation Comedy English AardmanAnimations PeterSallis AnneReid NickPark NickPark BobBaker prison inventor loyalty sheep innocence surrealism framed dog sheeprustling wallace&gromit 
96,Trainspotting,Trainspotting,Drama Crime English MiramaxFilms ChannelFourFilms NoelGayMotionPictureCompany FigmentFilms Film4 EwanMcGregor EwenBremner JonnyLeeMiller RobertCarlyle KellyMacdonald KevinMcKidd PeterMullan DannyBoyle IrvineWelsh JohnHodge londonengland alcohol sex basedonnovel drugaddiction drugdealer nightclub junkie heroin coldturkey modernsociety hallucination friendship surrealism darkcomedy stealing monologue cultfilm recoveringdrugaddict illegaldrugs drugdeal drugrehabilitation drugculture antihero 
97,Independence Day,Independence Day,Action Adventure ScienceFiction English TwentiethCenturyFoxFilmCorporation CentropolisEntertainment WillSmith BillPullman JeffGoldblum MaryMcDonnell JuddHirsch RobertLoggia RandyQuaid RolandEmmerich RolandEmmerich DeanDevlin spacecraft patriotism countdown independence invasion war ufo extraterrestrial spaceship alien battle 
98,A Time to Kill,A Time to Kill,Crime Drama Thriller English RegencyEnterprises WarnerBros. MatthewMcConaughey SandraBullock SamuelL.Jackson KevinSpacey OliverPlatt CharlesS.Dutton BrendaFricker JoelSchumacher AkivaGoldsman JohnGrisham kukluxklan rape mississippi jurors blackmail attemptedmurder forgiveness court shooting murder suspense lawyer trial courtroom racialtension kkk racialissues courtroomdrama 
99,La Collectionneuse,La Collectionneuse,Drama Comedy Romance Français English RomeParisFilms LesFilmsduLosange PatrickBauchau HaydéePolitoff DanielPommereulle AlainJouffroy MijanouBardot AnnikMorice DennisBerry PatrickBauchau ÉricRohmer ÉricRohmer HaydéePolitoff DanielPommereulle menageatrois 
100,The First Wives Club,The First Wives Club,Comedy English ScottRudinProductions GoldieHawn BetteMidler DianeKeaton MaggieSmith DanHedaya VictorGarber BronsonPinchot HughWilson RobertHarling BrickMason OliviaGoldsmith LorenzoContessa divorce divorcedwoman reunitedfriends 
101,Basquiat,Basquiat,Drama History English Español Miramax EleventhStreetProduction JonKilik JeffreyWright DavidBowie DennisHopper GaryOldman BeniciodelToro ClaireForlani MichaelWincott JulianSchnabel JulianSchnabel LechMajewski JohnF.Bowe newyork sex drugabuse homelessperson newlove drugaddiction overdose graffiti streetart vernissage exhibit friendship independentfilm drug celebration 
102,The Godfather,The Godfather,Drama Crime English Italiano Latin ParamountPictures AlfranProductions MarlonBrando AlPacino JamesCaan RichardS.Castellano RobertDuvall SterlingHayden JohnMarley FrancisFordCoppola FrancisFordCoppola MarioPuzo MarioPuzo italy loveatfirstsight lossoffather patriarch organizedcrime mafia lawyer italianamerican crimefamily risetopower mobboss 1940s 
103,Der bewegte Mann,Maybe... Maybe Not,Comedy Drama Deutsch ConstantinFilm Olga-FilmGmbH(München) TilSchweiger KatjaRiemann JoachimKról RufusBeck ArminRohde MartinaGedeck KaiWiesinger SönkeWortmann SönkeWortmann RalfKönig transvestism gay malenudity sexualidentity cologne dragqueen supportgroup heterosexual diashow waitress infidelity friendship 
104,Bogus,Bogus,Fantasy Comedy Family English RegencyEnterprises YorktownProductions WarnerBros. WhoopiGoldberg GérardDepardieu HaleyJoelOsment UteLemper AndreaMartin NancyTravis DenisMercier NormanJewison AlvinSargent circus magic aunt imaginaryfriend 
105,An American in Paris,An American in Paris,Drama Comedy Music Romance English Français Deutsch Loew's Metro-Goldwyn-Mayer(MGM) GeneKelly LeslieCaron OscarLevant GeorgesGuétary NinaFoch AnnaQ.Nilsson JohnEldredge VincenteMinnelli AlanJayLerner AlanJayLerner paris worldwarii musical parfum singing 
106,Breakfast at Tiffany's,Breakfast at Tiffany's,Comedy Drama Romance English Português ParamountPictures Jurow-Shepherd AudreyHepburn GeorgePeppard PatriciaNeal BuddyEbsen MartinBalsam MickeyRooney JoséLuisdeVillalonga BlakeEdwards TrumanCapote GeorgeAxelrod lossofbrother agedifference cat brokenengagement fireescape loveofone'slife jewelry storewindow neighbor millionaire celebration 
107,Vertigo,Vertigo,Mystery Romance Thriller English ParamountPictures AlfredJ.HitchcockProductions JamesStewart KimNovak BarbaraBelGeddes TomHelmore HenryJones RaymondBailey EllenCorby AlfredHitchcock AlecCoppel SamuelA.Taylor PierreBoileau ThomasNarcejac sanfrancisco senseofguilt bachelor obsession loveofone'slife vertigo museum necklace grave plan painting filmnoir 
108,Rear Window,Rear Window,Drama Mystery Thriller English ParamountPictures JamesStewart GraceKelly WendellCorey ThelmaRitter RaymondBurr JudithEvelyn RossBagdasarian AlfredHitchcock JohnMichaelHayes CornellWoolrich nurse photographer suspicionofmurder girlfriend neighbor salesman apartment convalescence voyeurism homebound 
109,It Happened One Night,It Happened One Night,Comedy Romance English ColumbiaPicturesCorporation ClarkGable ClaudetteColbert WalterConnolly RoscoeKarns JamesonThomas AlanHale ArthurHoyt FrankCapra RobertRiskin SamuelHopkinsAdams miami referencetothebigbadwolf reporter 
110,North by Northwest,North by Northwest,Mystery Thriller English Metro-Goldwyn-Mayer(MGM) CaryGrant EvaMarieSaint JamesMason LeoG.Carroll MartinLandau AdamWilliams JessieRoyceLandis AlfredHitchcock ErnestLehman ErnestLehman assassination spy mountrushmorenationalmemorial mistakenidentity ontherun fugitive espionage advertising framed governmentagent 
111,Some Like It Hot,Some Like It Hot,Comedy Romance English TheMirischCorporation AshtonProductions MarilynMonroe TonyCurtis JackLemmon GeorgeRaft PatO’Brien JoeE.Brown NehemiahPersoff BillyWilder BillyWilder MichaelLogan RobertThoeren I.A.L.Diamond chicago witness musician mafia crossdressing band spats allgirlband st.valentine'sdaymassacre sugar valentine'sday dressing 
112,Charade,Charade,Comedy Mystery Romance Thriller English Français Deutsch Italiano UniversalPictures CaryGrant AudreyHepburn WalterMatthau JamesCoburn GeorgeKennedy DominiqueMinot NedGlass StanleyDonen PeterStone PeterStone MarcBehm paris cia agedifference loveofone'slife interpreter lossofhusband french stamp train alias hitchcockian 
113,Casablanca,Casablanca,Drama Romance Deutsch Français Italiano English WarnerBros. HumphreyBogart IngridBergman PaulHenreid ClaudeRains ConradVeidt SydneyGreenstreet PeterLorre MichaelCurtiz JuliusJ.Epstein PhilipG.Epstein HowardKoch MurrayBurnett JoanAlison lovetriangle corruption spy resistance casablanca emigration visa patriotism nationalism concentrationcamp nazis war melodrama filmnoir 
114,The Maltese Falcon,The Maltese Falcon,Mystery Crime Thriller English WarnerBros. HumphreyBogart MaryAstor GladysGeorge PeterLorre BartonMacLane LeePatrick SydneyGreenstreet JohnHuston JohnHuston DashiellHammett DashiellHammett RobertFoulk sanfrancisco detective lossofhusband murder statuette privatedetective blackbird samspade privateeye filmnoir 
115,Sabrina,Sabrina,"Comedy Drama Romance English Italiano ParamountPictures HumphreyBogart AudreyHepburn WilliamHolden WalterHampden JohnWilliams MarthaHyer JoanVohs BillyWilder BillyWilder ErnestLehman SamuelA.Taylor SamuelA.Taylor brotherbrotherrelationship chauffeur champagne playboy love teenagecrush millionaire highsociety manhattan,newyorkcity impossiblelove familydisapproval "
116,Roman Holiday,Roman Holiday,Comedy Romance English Italiano ParamountPictures GregoryPeck AudreyHepburn EddieAlbert HartleyPower HarcourtWilliams MargaretRawlings TullioCarminati WilliamWyler DaltonTrumbo IanMcLellanHunter JohnDighton rome secretidentity boat dance intelligence forbiddenlove embassy duty sightseeing photography 
117,Meet Me in St. Louis,Meet Me in St. Louis,Comedy Music Romance English Loew's Metro-Goldwyn-Mayer(MGM) JudyGarland MargaretO'Brien MaryAstor LucilleBremer LeonAmes TomDrake MarjorieMain VincenteMinnelli SallyBenson IrvingBrecher FredF.Finklehoffe musical moving boynextdoor americana togetherness fiddle chapterheadings strawhat st.louismissouri 20thcentury 
118,The Wizard of Oz,The Wizard of Oz,Adventure Family Fantasy English Loew'sIncorporated JudyGarland FrankMorgan RayBolger BertLahr JackHaley BillieBurke MargaretHamilton VictorFleming NoelLangley FlorenceRyerson EdgarAllanWoolf L.FrankBaum NoelLangley witch adolescence basedonnovel secretidentity clock dream lion tornado scarecrow musical crow music kansas classic imaginaryland cowardliness sepiacolor 
119,Sunset Boulevard,Sunset Boulevard,Drama English ParamountPictures WilliamHolden GloriaSwanson ErichvonStroheim NancyOlson FredClark LloydGough JackWebb BillyWilder BillyWilder CharlesBrackett D.M.MarshmanJr. newyear'seve screenwriter jealousy butler lossofsenseofreality diva hollywood madness agingactor silentfilmstar filmnoir 
120,Citizen Kane,Citizen Kane,Mystery Drama English RKORadioPictures MercuryProductions OrsonWelles JosephCotten DorothyComingore RayCollins GeorgeCoulouris AgnesMoorehead PaulStewart OrsonWelles OrsonWelles HermanJ.Mankiewicz RogerQ.Denny JohnHouseman MollieKent journalist newspaper florida capitalist banker mediatycoon artcollector sleigh money child 
121,2001: A Space Odyssey,2001: A Space Odyssey,ScienceFiction Mystery Adventure English Pусский StanleyKubrickProductions Metro-Goldwyn-Mayer(MGM) KeirDullea GaryLockwood WilliamSylvester DouglasRain DanielRichter LeonardRossiter MargaretTyzack StanleyKubrick StanleyKubrick ArthurC.Clarke ArthurC.Clarke moon jupiter artificialintelligence manvsmachine technology supercomputer humanbeing spacetravel spacemission moonbase astronaut evolution monolith spacestation 
